ip4_prefix,number
104.17.196.0,40
45.54.60.0,6
104.17.21.0,44
104.27.18.0,43
104.17.96.0,45
104.27.83.0,45
104.17.161.0,42
104.28.131.0,44
104.29.74.0,37
151.101.188.0,13
45.54.46.0,5
110.76.23.0,9
107.154.138.0,7
104.25.35.0,42
104.23.192.0,46
150.164.51.0,2
104.28.87.0,43
104.27.116.0,42
168.245.51.0,3
35.186.231.0,26
64.96.248.0,4
104.24.82.0,40
119.59.75.0,3
104.16.79.0,42
104.28.182.0,40
69.171.255.0,10
104.31.180.0,40
104.16.90.0,42
176.126.87.0,3
104.28.176.0,40
104.17.23.0,42
104.24.23.0,44
35.190.2.0,28
104.25.147.0,40
104.25.195.0,40
65.22.160.0,4
104.18.13.0,42
104.17.246.0,44
194.0.42.0,38
13.107.18.0,16
107.154.197.0,3
35.186.251.0,26
104.31.255.0,39
65.22.222.0,5
104.17.245.0,44
103.77.224.0,5
168.245.60.0,3
104.24.200.0,42
72.52.4.0,7
104.17.144.0,43
107.178.243.0,29
104.17.254.0,43
176.103.130.0,7
104.28.214.0,42
104.16.183.0,45
107.178.245.0,26
104.17.41.0,40
199.101.28.0,4
104.29.27.0,37
107.154.179.0,5
43.230.51.0,3
156.154.141.0,13
104.16.242.0,45
104.17.41.0,43
104.17.133.0,42
200.3.123.0,2
162.159.28.0,47
151.101.221.0,12
104.30.3.0,37
104.20.240.0,45
104.19.227.0,39
198.7.30.0,12
35.186.205.0,27
168.96.249.0,2
107.161.34.0,2
104.20.146.0,45
173.194.249.0,10
94.199.205.0,5
104.28.207.0,42
163.47.206.0,2
173.194.229.0,10
104.29.9.0,37
104.16.172.0,45
156.154.125.0,6
130.211.27.0,28
185.38.99.0,7
199.19.56.0,4
104.25.180.0,40
104.18.12.0,44
104.17.106.0,43
104.24.220.0,42
167.89.85.0,3
104.27.15.0,45
192.5.6.0,7
70.40.10.0,9
185.194.114.0,3
72.167.7.0,8
104.16.133.0,43
74.201.43.0,3
104.20.160.0,44
104.27.176.0,38
104.245.57.0,9
40.40.40.0,3
104.28.14.0,40
107.154.161.0,6
104.24.8.0,40
104.16.208.0,43
104.31.154.0,40
104.27.67.0,44
208.65.150.0,2
151.101.228.0,12
104.24.161.0,40
17.253.200.0,17
151.101.197.0,13
204.74.110.0,14
104.23.122.0,46
35.186.242.0,27
104.31.221.0,40
104.24.173.0,40
104.19.73.0,44
172.64.67.0,33
65.22.155.0,22
12.127.16.0,6
185.106.62.0,3
35.190.40.0,28
104.20.164.0,46
104.20.196.0,43
65.22.52.0,4
198.51.233.0,8
104.28.188.0,42
104.17.165.0,44
65.22.194.0,5
104.29.25.0,37
163.10.5.0,2
104.28.70.0,44
35.190.107.0,30
104.28.59.0,43
104.16.83.0,43
35.186.208.0,29
35.190.78.0,25
104.17.200.0,43
104.24.154.0,42
172.64.18.0,14
108.229.0.0,5
104.16.62.0,44
149.112.149.0,15
162.249.19.0,3
104.23.125.0,46
104.17.125.0,44
104.19.80.0,44
104.31.248.0,40
35.190.59.0,26
69.168.232.0,2
104.19.199.0,45
35.186.200.0,27
104.29.32.0,38
192.28.95.0,7
104.19.128.0,40
104.16.20.0,46
66.173.0.0,6
200.215.197.0,4
150.164.150.0,2
184.85.248.0,6
162.88.53.0,7
104.19.134.0,39
104.20.49.0,44
35.190.25.0,29
173.194.244.0,10
162.251.82.0,36
167.89.84.0,3
72.0.49.0,23
104.25.20.0,38
104.25.0.0,40
35.190.27.0,28
104.20.138.0,43
104.31.179.0,39
104.16.234.0,45
104.25.67.0,44
